sequence_id,timestep,temperature_1,temperature_2
0,0,0.03609871806993415,-3.3081751282176284
0,1,8.263369520215218,
0,2,8.603110556670805,
0,3,,
0,4,,
0,5,,0.26756979663743885
0,6,8.297631227459883,
0,7,,
1,0,,-1.2629749388049771
1,1,,
1,2,,-0.7669593301825949
1,3,,-1.7556475270722558
1,4,,
1,5,,
1,6,,
1,7,8.108089188256447,
2,0,-0.24214807723804044,1.0239844874077537
2,1,0.1979566687726195,-0.7534380167794892
2,2,,
2,3,,-0.8258481305010336
2,4,,
2,5,,-0.9296798131203643
2,6,24.201620133995675,
2,7,23.100539126704415,-0.26243165264863066
3,0,,
3,1,8.496666691207261,-0.3794368356991994
3,2,,
3,3,,
3,4,,-1.3677137075524999
3,5,,-1.9792505464002912
3,6,23.485642983685334,-1.436792313982965
3,7,23.72653240321719,-0.16629531030150435
4,0,,
4,1,7.696547451179169,
4,2,,
4,3,,1.0332020209241597
4,4,23.12563560068899,
4,5,23.390567911335356,
4,6,,0.824602145231411
4,7,,-0.7065649411119824
5,0,,
5,1,,
5,2,,-0.49796413046975585
5,3,,
5,4,23.745550503760857,
5,5,23.864461684522663,
5,6,24.24761538337149,-0.5037779494031428
5,7,,
6,0,,
6,1,,
6,2,0.6610510445580072,-1.8452463827048826
6,3,,
6,4,,
6,5,7.218222633657705,
6,6,,-0.2278564994872846
6,7,7.55977933735305,-0.5264228056318722
7,0,,-0.768746748024526
7,1,,-1.4792722277788841
7,2,,
7,3,,0.42427174267782597
7,4,23.86334088331425,-0.30001871809200964
7,5,,-1.0355127771894281
7,6,,
7,7,,
8,0,-0.8244234430722839,
8,1,,0.11478779458630584
8,2,0.4085035850688128,
8,3,-0.24844715224539887,-1.2487997158715753
8,4,,-0.23757500149137678
8,5,8.32984407295083,-0.46587166527585233
8,6,,0.20149601001781625
8,7,,
9,0,-0.25923818100987134,
9,1,,-0.48269009971541255
9,2,7.4835408594257995,
9,3,8.51499723498322,0.44269491679360384
9,4,13.410215740025333,
9,5,23.57722782015804,-1.9289109726309361
9,6,,
9,7,24.978369014010532,-0.005232627991312633
10,0,0.13203555453951643,
10,1,,-2.4999954563903
10,2,,-0.8789826596293242
10,3,,
10,4,,
10,5,-0.04745404084404814,-2.0215074732421403
10,6,-0.3614648031293731,0.5346978754330096
10,7,0.3246159330026787,-1.1796464663816464
11,0,-0.23871544460027605,
11,1,-0.23893385766169342,
11,2,,
11,3,12.72858330071456,
11,4,,-0.8460185645731899
11,5,24.024260636818795,-1.0427788134891696
11,6,,-1.0253577633678395
11,7,24.140169197833902,
12,0,,-0.7340313069825788
12,1,-0.5169829975865144,-1.9001661609083471
12,2,,-2.328942464920671
12,3,8.051361417282335,
12,4,,
12,5,8.053749121796885,
12,6,13.149930109459051,-0.18738534993253303
12,7,,
13,0,,
13,1,7.3758488521042915,-2.375577456486605
13,2,,
13,3,,0.7584302512486933
13,4,7.570680303904844,-1.5007503720893567
13,5,13.563694966210178,
13,6,,-0.5890192640434291
13,7,22.960434924374805,-0.23479812212009277
14,0,,
14,1,7.9876515521266995,
14,2,,
14,3,,0.5054496000944888
14,4,,1.5183579399524227
14,5,,
14,6,,0.5276334747942049
14,7,24.237520708931083,
15,0,,
15,1,0.18860950733167886,-0.49295097591192283
15,2,7.686631335129509,
15,3,,0.30464028498543705
15,4,,-1.5121733636230652
15,5,,
15,6,,
15,7,24.46433862782953,
16,0,0.013927606849600012,
16,1,,
16,2,,0.11449239469305672
16,3,,
16,4,,-2.296260160552104
16,5,,
16,6,,
16,7,,
17,0,,-0.1740114568302249
17,1,0.2170787521831561,
17,2,-0.7275288245132441,-1.3432071459145762
17,3,,
17,4,7.713108745378741,-2.190301946786559
17,5,13.094424782561672,
17,6,23.951631368311215,0.8798949427360303
17,7,23.767501293076183,0.8333406993494326
18,0,,
18,1,0.16953361295471864,-0.23352879332614407
18,2,7.4312807333714215,
18,3,12.272510015588848,-0.1923954044920134
18,4,24.81461043355723,
18,5,,-1.3361106357682104
18,6,24.500503676483422,
18,7,23.663967671984157,-1.447949505549807
19,0,0.12510218116929195,-1.1946770052044255
19,1,,-0.7962706495389412
19,2,,-1.2537371936916166
19,3,12.29116029020755,-0.5214357030690867
19,4,24.01313902858095,-0.2817512486133047
19,5,23.442486144637318,-2.6401513747280694
19,6,22.88663130824122,-0.5936738963398567
19,7,,-1.9734214595361363
20,0,,
20,1,,
20,2,1.0635388083596808,-0.8145842392498658
20,3,-0.2545762122643261,
20,4,,
20,5,,
20,6,,
20,7,,
21,0,,
21,1,8.548313653503712,0.410043553830606
21,2,13.106395918594703,
21,3,,
21,4,,
21,5,,-1.5897887270334023
21,6,,-1.2779281232065152
21,7,24.477632456093545,-1.2106759826049942
22,0,,
22,1,,
22,2,8.550277767747438,-0.4627871565411168
22,3,8.86405872249452,
22,4,,
22,5,,
22,6,23.218329494789035,
22,7,,-1.4696435213636354
23,0,-0.6196902118527868,
23,1,0.3876708938594131,-2.0518770958913493
23,2,7.143950484510115,
23,3,8.198577272912392,
23,4,12.77825999733892,
23,5,,
23,6,,
23,7,24.68767585963133,
24,0,,-0.16837202983564803
24,1,,-0.06363616940224281
24,2,0.1613847579892035,-0.2910959195186028
24,3,,-0.31533206732344043
24,4,6.592863415618754,
24,5,,
24,6,,
24,7,,
25,0,,-0.4368403023844627
25,1,8.518890791639855,-1.0117509228529638
25,2,13.145228920926638,
25,3,,
25,4,,0.7859030296305913
25,5,,-1.9446819726225306
25,6,,
25,7,,-2.468622572780991
26,0,0.42712637820192656,
26,1,,
26,2,,
26,3,,
26,4,,0.7909072950086748
26,5,,
26,6,24.48240813427929,0.009444242265836733
26,7,23.757661039953806,-2.269356654458711
27,0,,
27,1,,-0.9766657266933957
27,2,,
27,3,,-0.04768615490992426
