sequence_id,timestep,temperature_1,temperature_2
0,0,0.016154213097576562,
0,1,,0.35623938080697215
0,2,,
0,3,,
0,4,8.415274722295852,
0,5,,-0.34183541656562466
0,6,,
0,7,,
0,8,,0.1275653334647855
0,9,,
0,10,24.76558865543866,0.5901826148273663
0,11,,
0,12,23.519850589960686,
0,13,,
0,14,,
0,15,,0.4573726240300404
0,16,23.68925306728703,-0.9368946520699389
0,17,,
0,18,,
0,19,,
0,20,23.367365243108043,-0.8911583992998443
0,21,,
0,22,24.19038572304531,
0,23,,
0,24,24.01196968133614,-0.5449316646615989
0,25,,
0,26,,
0,27,,
0,28,,-1.2204257127144107
0,29,,
0,30,,-2.497672594819121
0,31,,
0,32,,0.44051178711811567
0,33,,
0,34,,
0,35,,
0,36,,-0.39518409827752254
0,37,23.779472631655143,
0,38,24.020190319908806,
0,39,24.08513524097983,
0,40,,-1.5107929013961954
0,41,,
0,42,,0.2737883696386436
0,43,23.50462426582178,-1.1662781126280068
0,44,,
0,45,23.64142010710347,
0,46,,-1.4490622224392213
0,47,,
0,48,,
0,49,,
1,0,,
1,1,,
1,2,,-0.15819119672291937
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,-1.0549475157911827
1,10,,
1,11,,
1,12,23.762307988896495,
1,13,,-2.3616001982064008
1,14,,
1,15,,
1,16,,
1,17,,
1,18,,
1,19,,
1,20,,
1,21,,
1,22,,
1,23,,
1,24,,0.09082122539728377
1,25,24.083751284506082,
1,26,,
1,27,,-0.6379237162552014
1,28,,
1,29,,0.682435794798151
1,30,,
1,31,,-1.6240105264887632
1,32,,
1,33,,-1.7842850044617067
1,34,,
1,35,,-0.3173770772543566
1,36,,
1,37,,-2.7944931700892317
1,38,,
1,39,,
1,40,23.54048959662084,-1.7381429282412808
1,41,,
1,42,,
1,43,24.2295092624789,
1,44,,
1,45,,-0.3284065928958396
1,46,,-0.24050928620687073
1,47,,
1,48,,-3.0056440760343426
1,49,,-1.1710575215919825
2,0,-0.4576934768757953,
2,1,,
2,2,,
2,3,,
2,4,,
2,5,,
2,6,,
2,7,,
2,8,,
2,9,25.885112994587416,-2.433710745120159
2,10,,
2,11,,
2,12,24.689774048261892,
2,13,,
2,14,,
2,15,,
2,16,,
2,17,,-2.5101352102760486
2,18,,
2,19,,
2,20,,
2,21,24.44854478931341,-0.35549112929731197
2,22,,
2,23,,
2,24,,
2,25,,
2,26,,
2,27,,
2,28,24.56492977458633,
2,29,,
2,30,23.69007582805877,
2,31,,
2,32,23.553168785583896,
2,33,23.70347123484905,
2,34,24.84105812298723,0.6687117464912948
2,35,,
2,36,23.360197111968713,
2,37,23.986617281555162,0.3152120025487408
2,38,,
2,39,,
2,40,,
2,41,,
2,42,,
2,43,,
2,44,,
2,45,,
2,46,,-0.7904421917673967
2,47,23.54888982407748,
2,48,,0.8386717587046819
2,49,,
3,0,,
3,1,,
3,2,,-1.5483714414321903
3,3,,-1.94604579335324
3,4,,-1.5336227068869914
3,5,,
3,6,23.859723392228382,
3,7,,
3,8,,
3,9,,
3,10,,
3,11,,
3,12,,
3,13,,
3,14,,
3,15,,
3,16,,-2.156084043601318
3,17,24.447134075326932,
3,18,,
3,19,,0.600687771509379
3,20,,
3,21,,-0.9007067700240806
3,22,,
3,23,,
3,24,,
3,25,24.140271245126268,
3,26,,
3,27,23.95696146569229,
3,28,,
3,29,,
3,30,,
3,31,23.775797566404947,
3,32,23.85702028903404,-0.43124929344636753
3,33,,
3,34,,
3,35,,
3,36,23.755882713686443,-1.2817769145902944
3,37,,
3,38,,
3,39,24.23632988039728,
3,40,,
3,41,,
3,42,,
3,43,,
3,44,,
3,45,23.89573411848084,
3,46,,
3,47,,
3,48,,
3,49,24.304171559756757,
4,0,-0.2501218636467847,-0.5652117498337098
4,1,7.524075282961741,-0.9798555524975178
4,2,,-0.2084039981190824
4,3,,
4,4,,-1.7686087640323156
4,5,,-0.2508293679385044
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,
4,11,,
4,12,,
4,13,,-1.479397700732174
4,14,,
4,15,,
4,16,,-0.644063125925429
4,17,,0.2566970956052028
4,18,,
4,19,,
4,20,,
4,21,23.925668765724666,
4,22,24.072437281271068,
4,23,,
4,24,,1.1127644549197981
4,25,,
4,26,,
4,27,,
4,28,,
4,29,,
4,30,,
4,31,24.862582807547977,-0.2874288899849238
4,32,,
4,33,,
4,34,,
4,35,,
4,36,23.492673308852762,-1.1274315272864246
4,37,24.13899842344792,
4,38,,
4,39,,-1.4672887760185611
4,40,24.961123406553842,
4,41,,
4,42,,
4,43,24.17426021210856,
4,44,,
4,45,,
4,46,,
4,47,23.733967532070253,-2.4671300965771428
4,48,,
4,49,,
5,0,,
5,1,-0.20153784301542602,-0.2063483737655082
5,2,,
5,3,,-2.1152869096051496
5,4,,-3.3145563496394947
5,5,12.534799350624791,
5,6,,
5,7,23.69934101389018,
5,8,,
5,9,,
5,10,24.636300653152606,-0.7322806500792827
5,11,,-1.648417619617267
5,12,23.832989517749215,-0.2988876443473425
5,13,,
5,14,,0.5926395452891491
5,15,,
5,16,,
5,17,,
5,18,,
5,19,,
5,20,,
5,21,,
5,22,,
5,23,,
5,24,,
5,25,,
5,26,24.14173505645509,
5,27,,-1.348085565521858
5,28,,
5,29,24.197960631848574,0.11054320924330763
5,30,,
5,31,,
5,32,,
5,33,,
5,34,,
5,35,23.77882326125888,-0.4980633122461049
5,36,,
5,37,,
5,38,,
5,39,,
5,40,,
5,41,,
5,42,,
5,43,,
5,44,,
5,45,,-0.8268033263498037
5,46,,
5,47,,
5,48,,
5,49,,
6,0,,
6,1,,
6,2,,
6,3,,
6,4,,
6,5,,
6,6,,
6,7,,
6,8,,
6,9,,
6,10,,
6,11,,
6,12,25.095489734177573,0.6625134553988845
6,13,,
6,14,,
6,15,,
6,16,24.061554014272687,
6,17,24.03740231501736,-0.7297299855074961
6,18,,-0.24025943687990126
6,19,24.179427443713355,
6,20,,
6,21,,-0.3506044601663274
6,22,,
6,23,,
6,24,,
6,25,,
6,26,,
6,27,23.925695413415518,
6,28,,
6,29,23.114580272667578,
6,30,,
6,31,23.592614536622648,-1.3685177766840841
6,32,,-1.1733085314836302
6,33,,
6,34,,
6,35,,
6,36,,
6,37,,
6,38,,
6,39,,
6,40,,
6,41,23.647251575331076,0.5520512474106809
6,42,,-1.356199369425987
6,43,,
6,44,,
6,45,,
6,46,24.011402331310883,-0.06369932546587154
6,47,,
6,48,,
